"Years","1_CA_TWL","2_CA_NONTWL","3_CA_REC","4_ORWA_TWL","5_ORWA_NONTWL","6_OR_REC","7_WA_REC","Total Catch","Total Dead"
2005,"0.02","0.73","1.00","1.24","1.66","2.05","4.06","10.76","10.76"
2006,"0.00","0.20","1.00","1.42","2.16","1.18","1.58","7.54","7.54"
2007,"0.00","0.93","4.00","0.09","3.68","1.82","2.31","12.83","12.83"
2008,"0.02","0.64","1.00","0.16","3.43","2.10","1.95","9.29","9.29"
2009,"0.02","0.19","5.00","0.09","2.18","2.30","1.91","11.69","11.69"
2010,"0.06","0.04","1.00","0.08","0.86","2.41","2.27","6.72","6.72"
2011,"0.00","0.20","2.00","0.06","1.21","2.54","2.33","8.34","8.34"
2012,"0.00","0.88","2.00","0.06","1.91","3.05","3.26","11.16","11.16"
2013,"0.01","0.56","1.00","0.11","2.94","3.54","2.24","10.40","10.40"
2014,"0.06","0.02","1.00","0.03","2.16","2.64","2.91","8.81","8.81"
2015,"0.00","0.40","2.00","0.03","3.15","3.56","2.87","12.02","12.02"
2016,"0.00","0.00","1.00","0.07","2.59","2.68","3.24","9.59","9.59"
